Vendor company name,Vendor name,Industry,Description,Contact number,Email id,vendor_id
SweetHarvest Ltd.,John Doe,Sugar,"Supplier of refined sugar, providing high-quality 
products to retailers and manufacturers.",9876543210,john@sweetharvest.com,1cb5f86c-ae97-4d13-a1f6-723a96cddded
SugarCorp,Alice Smith,Sugar,"Organic sugar provider, committed to 
sustainable and eco-friendly production.",8765432109,alice@sugarcorp.com,50b5e024-6ef0-4866-8c31-545bfee28830
FurniStyle,Robert Brown,Chair,"Wooden and steel chairs manufacturer, 
customized designs for homes and offices.",7654321098,robert@furnistyle.com,f68a1cf7-f9cd-4d2f-9d28-7333b219ad54
Golden Cane,Michael White,Sugar,"Bulk sugar distributor serving industries 
with premium quality sugar in large quantities.",6543210987,michael@goldencane.com,3c8d873a-0260-4893-b74f-dfa317083c92
WoodMasters,David Green,Chair,"Custom furniture designer, crafting unique 
and ergonomic chair solutions.",5432109876,david@woodmasters.com,51cdacb9-513c-4d73-8571-a8b2f6c4a89f
EcoWood Ltd.,Sophia Lee,Wood,"Timber and wood products supplier, offering 
sustainable and durable wood materials.",4321098765,sophia@ecowood.com,cd96cc69-34cc-4688-8ea9-94695ff3df57
PureGold Pvt Ltd.,Emily Johnson,Gold,"Gold jewelry and investment items, 
trusted for purity and craftsmanship.",3210987654,emily@puregold.com,240551da-5313-4a44-9fd3-4e890dc94bec
NatureWood,Daniel Parker,Wood,"Sustainable wood furniture, blending 
aesthetics with eco-friendly designs.",2109876543,daniel@naturewood.com,dee9e7f5-c153-4be3-a847-c0f85943a5f7
GoldElite,Olivia Adams,Gold,"Gold coins and bars supplier, ensuring 
trusted investment-grade quality.",1098765432,olivia@goldelite.com,2ec4e295-d6ce-46d3-98a3-65033140379e
OfficeMart,Emma Wilson,Stationary,"Stationery and office supplies, providing 
all essentials for businesses and schools.",9988776655,emma@officemart.com,c5b2b679-2630-4e3d-a5ce-17d196dced66
Golden Grain Distributors,Richard Morgan,Barley,"Supplier of premium barley, providing high-quality grains for breweries.",9123456789,richard@goldengrain.com,f93e9e0a-bb6b-4aaf-b081-949a70fbd00e
Fresh Hops Co.,Sarah Johnson,Hops,Family-owned hop farm offering a range of hop varieties for craft brewers.,9234567890,sarah@freshhops.com,e6f0b5b3-785e-4e45-b20e-88e01db8cbec
CleanWater Solutions,Thomas Kelly,Water Filtration,"Specializing in water filtration systems for breweries, ensuring pure water quality.",9345678901,thomas@cleanwater.com,e158123f-0511-4436-a74e-ef83c342bff8
