Vendor ID,Vendor Name,Company Name,Company Description,Email ID,PoC Name
c92d071b-49e5-4f7c-8ca5-7505bc0bd7e6,John Doe,ABC Brewing Co.,A family-owned brewery specializing in craft ales and lagers.,john.doe@abcbrewing.com,John Doe
4697bb4e-03ea-4703-9a6d-e0298456bfb4,Jane Smith,Smith & Sons Brewery,Traditional brewery known for its award-winning stouts and porters.,jane.smith@smithbrewery.com,Jane Smith
a106a51e-6a01-481e-8452-ac3907d31dcf,Michael Johnson,Golden Barrel Ltd.,Producer of premium lagers with a focus on sustainability.,michael.johnson@goldenbarrel.com,Michael Johnson
18362776-fcde-451f-8358-acec3556101a,Emily Davis,Lakeside Brewing,Microbrewery offering a variety of seasonal beers inspired by local ingredients.,emily.davis@lakesidebrew.com,Emily Davis
9ca83946-737b-46f6-801d-7110036dbfbe,David Brown,Highland Hops,Scottish brewery renowned for its pale ales and IPAs.,david.brown@highlandhops.com,David Brown
3a190658-d4fc-411c-b79f-9b9d8c16b68e,Sarah Wilson,Urban Brewmasters,Innovative brewery creating fusion beers that blend traditional and modern styles.,sarah.wilson@urbanbrewmasters.com,Sarah Wilson
bc842e17-1dcf-4b05-8b1d-68ac3ac6ffee,James Taylor,Mountain Peak Ales,"Brewery located in the Rockies, known for its robust ales and lagers.",james.taylor@mountainpeakales.com,James Taylor
5adc0468-d396-4b64-a36e-38cc5655e858,Olivia Martinez,Coastal Ciders,Specializes in handcrafted ciders made from organic apples.,olivia.martinez@coastalciders.com,Olivia Martinez
3287c038-f688-41ce-a957-e75a4eecf832,William Anderson,Sunset Brewing Co.,Offers a range of beers inspired by sunsets and tropical flavors.,william.anderson@sunsetbrewing.com,William Anderson
ba8315b3-ae6b-4fd4-b968-3560708a32e5,Sophia Thomas,Riverbend Brewery,Focuses on Belgian-style beers with a modern twist.,sophia.thomas@riverbendbrewery.com,Sophia Thomas
50fac327-7666-4d28-8feb-52f143b46487,Benjamin Lee,Oak Barrel Brewing,Traditional brewery using oak barrels for aging to impart unique flavors.,benjamin.lee@oakbarrelbrewing.com,Benjamin Lee
4b0ecbda-b696-411f-bb6e-270598af223b,Isabella Harris,Pine Forest Ales,"Craft brewery located in a pine forest, offering earthy and aromatic beers.",isabella.harris@pineforestales.com,Isabella Harris
a44482d3-a743-4f96-9492-486950c353ce,Lucas Clark,Desert Sands Brewing,"Brewery inspired by desert landscapes, creating unique spiced beers.",lucas.clark@desertsandsbrewing.com,Lucas Clark
4f97eb4d-19da-4180-87ce-a1395287b1b6,Mia Lewis,Blue Ridge Brewing,Appalachian brewery known for its mountain-inspired brews.,mia.lewis@blueridgebrewing.com,Mia Lewis
601b944d-7617-484b-85a6-dcd6901bc4f7,Alexander Walker,Prairie Gold Brewery,Focuses on wheat beers and light ales perfect for warm climates.,alexander.walker@prairiegoldbrewery.com,Alexander Walker
